"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","0 units","96 vCPUs","4.00 GiB/vCPU","4","NVIDIA A10G","96 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","3800 GB                 NVMe SSD","Yes","Yes","64-bit","50 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$8.144 hourly","$5.13072 hourly","$2.493000 hourly","$2.515500 hourly","$8.309 hourly","$5.29272 hourly","$2.623000 hourly","$2.645500 hourly","$8.294 hourly","$5.19072 hourly","$2.643000 hourly","$2.665500 hourly","$12.56 hourly","$9.54672 hourly","$6.859200 hourly","$6.859200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"INF1 Extra Large","inf1.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8275CL (Cascade Lake)","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","40","4","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.228 hourly","$0.144 hourly","$0.068400 hourly","$0.068400 hourly","$0.288 hourly","$0.204 hourly","$0.128400 hourly","$0.128400 hourly","$0.353 hourly","$0.194 hourly","$0.193400 hourly","$0.193400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.296 hourly","$0.211 hourly","$0.708 hourly","$0.624 hourly","$1.728 hourly","$1.644 hourly","0","unavailable"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GB                 (2 * 1900 GB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$3.6864 hourly","$2.3224 hourly","$1.197000 hourly","$1.208500 hourly","$3.8164 hourly","$2.4524 hourly","$1.327000 hourly","$1.338500 hourly","$3.8364 hourly","$2.3824 hourly","$1.347000 hourly","$1.358500 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","0 units","96 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$7.152 hourly","$4.506 hourly","$2.209700 hourly","$3.709300 hourly","$7.317 hourly","$4.668 hourly","$2.339700 hourly","$3.839300 hourly","$7.302 hourly","$4.566 hourly","$2.359700 hourly","$3.859300 hourly","$11.568 hourly","$8.922 hourly","$6.126000 hourly","$6.126000 hourly","$13.19 hourly","$10.544 hourly","$23.088 hourly","$20.442 hourly","$47.568 hourly","$44.922 hourly","$8.774 hourly","$6.128 hourly","$18.672 hourly","$16.026 hourly","$43.152 hourly","$40.506 hourly","0","unavailable"
"R5DN Metal","r5dn.metal","768.0 GiB","0 units","96 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","3600 GB                 (4 * 900 GB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$8.016 hourly","$5.05 hourly","$8.016000 hourly","$8.016000 hourly","$8.146 hourly","$5.18 hourly","$8.146000 hourly","$8.146000 hourly","$8.166 hourly","$5.11 hourly","$8.166000 hourly","$8.166000 hourly","$12.432 hourly","$9.466 hourly","$12.250400 hourly","$12.250400 hourly","$14.054 hourly","$11.088 hourly","$23.952 hourly","$20.986 hourly","$48.432 hourly","$45.466 hourly","$9.638 hourly","$6.672 hourly","$19.536 hourly","$16.57 hourly","$44.016 hourly","$41.05 hourly","0","unavailable"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","104 units","32 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","6400 GB                 (8 * 800 GB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az6","$6.82 hourly","$3.392 hourly","$2.046000 hourly","$6.820000 hourly","$6.989 hourly","$3.21 hourly","$2.176000 hourly","$6.950000 hourly","$6.92 hourly","$3.428 hourly","$2.146000 hourly","$6.920000 hourly","$7.782 hourly","$4.521 hourly","$3.008000 hourly","$7.782000 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","$20.292 hourly","$16.87 hourly","$7.365 hourly","$3.588 hourly","$10.664 hourly","$6.888 hourly","$18.824 hourly","$15.048 hourly","unavailable","$0.270 hourly"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","0 units","32 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","1200 GB                 (2 * 600 GB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","6800.0 Mbps","850.0 Mbps","30000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.672 hourly","$1.683 hourly","$0.732700 hourly","$1.390800 hourly","$2.837 hourly","$1.84536 hourly","$0.862700 hourly","$1.520800 hourly","unavailable","unavailable","$0.882700 hourly","$1.540800 hourly","$4.144 hourly","$3.155 hourly","$2.042000 hourly","$2.042000 hourly","$4.685 hourly","$3.696 hourly","$7.984 hourly","$6.995 hourly","$16.144 hourly","$15.155 hourly","$3.213 hourly","$2.224 hourly","$6.512 hourly","$5.523 hourly","$14.672 hourly","$13.683 hourly","0","unavailable"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","0 units","32 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.808 hourly","$1.139 hourly","$0.595600 hourly","$0.717500 hourly","$1.973 hourly","$1.301 hourly","$0.725600 hourly","$0.847500 hourly","$1.958 hourly","$1.199 hourly","$0.745600 hourly","$0.867500 hourly","$3.28 hourly","$2.611 hourly","$2.042000 hourly","$2.042000 hourly","$3.821 hourly","$3.152 hourly","$7.12 hourly","$6.451 hourly","$15.28 hourly","$14.611 hourly","$2.349 hourly","$1.68 hourly","$5.648 hourly","$4.979 hourly","$13.808 hourly","$13.139 hourly","0","unavailable"
"M6A Quadruple Extra Large","m6a.4xlarge","64.0 GiB","0 units","16 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 12.5 Gigabit","6666.666664 Mbps","833.333333 Mbps","26667.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.6912 hourly","$0.45723 hourly","$0.291300 hourly","$0.372800 hourly","$0.8562 hourly","$0.61923 hourly","$0.421300 hourly","$0.502800 hourly","$0.8412 hourly","$0.51723 hourly","$0.441300 hourly","$0.522800 hourly","$1.4272 hourly","$1.19323 hourly","$1.021700 hourly","$1.021700 hourly","$1.6976 hourly","$1.46363 hourly","$3.3472 hourly","$3.11323 hourly","$7.4272 hourly","$7.19323 hourly","$0.9616 hourly","$0.72763 hourly","$2.6112 hourly","$2.37723 hourly","$6.6912 hourly","$6.45723 hourly","0","unavailable"
"R6G Medium","r6g.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0504 hourly","$0.0318 hourly","$0.018700 hourly","$0.018700 hourly","$0.1454 hourly","$0.1238 hourly","$0.078700 hourly","$0.078700 hourly","$0.0814 hourly","$0.0448 hourly","$0.049700 hourly","$0.049700 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R6G 12xlarge","r6g.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","14250.0 Mbps","1781.25 Mbps","50000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.4192 hourly","$1.5241 hourly","$0.897800 hourly","$0.946600 hourly","$2.5492 hourly","$1.6541 hourly","$1.027800 hourly","$1.076600 hourly","$2.5692 hourly","$1.5841 hourly","$1.047800 hourly","$1.096600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Metal","a1.metal","32.0 GiB","0 units","16 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.408 hourly","$0.257 hourly","$0.134300 hourly","$0.134300 hourly","$0.538 hourly","$0.387 hourly","$0.264300 hourly","$0.264300 hourly","$0.558 hourly","$0.317 hourly","$0.284300 hourly","$0.284300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T4G Micro","t4g.micro","1.0 GiB","0 units","2 vCPUs","0.50 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2606.0 Mbps","325.75 Mbps","11800.0 IOPS","Yes","4","2","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0084 hourly","$0.0053 hourly","$0.002500 hourly","$0.002500 hourly","$0.1034 hourly","$0.0973 hourly","$0.062500 hourly","$0.062500 hourly","$0.0084 hourly","$0.0093 hourly","$0.002500 hourly","$0.002500 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5B Large","r5b.large","16.0 GiB","0 units","2 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","10000.0 Mbps","1250.0 Mbps","43333.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.149 hourly","$0.09387 hourly","$0.035600 hourly","$0.035600 hourly","$0.244 hourly","$0.18587 hourly","$0.095600 hourly","$0.095600 hourly","$0.212 hourly","$0.11887 hourly","$0.098600 hourly","$0.098600 hourly","$0.241 hourly","$0.18587 hourly","$0.127600 hourly","$0.127600 hourly","$0.3086 hourly","$0.25347 hourly","$0.721 hourly","$0.66587 hourly","$1.741 hourly","$1.68587 hourly","$0.2166 hourly","$0.16147 hourly","$0.629 hourly","$0.57387 hourly","$1.649 hourly","$1.59387 hourly","0","unavailable"
"M5A Extra Large","m5a.xlarge","16.0 GiB","0 units","4 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.172 hourly","$0.108 hourly","$0.085600 hourly","$0.092500 hourly","$0.267 hourly","$0.2 hourly","$0.145600 hourly","$0.152500 hourly","$0.297 hourly","$0.158 hourly","$0.210600 hourly","$0.217500 hourly","$0.356 hourly","$0.292 hourly","$0.252000 hourly","$0.252000 hourly","$0.424 hourly","$0.36 hourly","$0.836 hourly","$0.772 hourly","$1.856 hourly","$1.792 hourly","$0.24 hourly","$0.176 hourly","$0.652 hourly","$0.588 hourly","$1.672 hourly","$1.608 hourly","0","$0.043 hourly"
"C6GN Eight Extra Large","c6gn.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$1.3824 hourly","$0.87251 hourly","$0.544100 hourly","$0.544100 hourly","$1.5124 hourly","$1.00251 hourly","$0.674100 hourly","$0.674100 hourly","$1.5324 hourly","$0.93251 hourly","$0.694100 hourly","$0.694100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","0 units","96 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$5.712 hourly","$3.599 hourly","$1.906700 hourly","$3.370200 hourly","$5.877 hourly","$3.761 hourly","$2.036700 hourly","$3.500200 hourly","unavailable","unavailable","$2.056700 hourly","$3.520200 hourly","$10.128 hourly","$8.015 hourly","$6.048300 hourly","$6.048300 hourly","$11.75 hourly","$9.637 hourly","$21.648 hourly","$19.535 hourly","$46.128 hourly","$44.015 hourly","$7.334 hourly","$5.221 hourly","$17.232 hourly","$15.119 hourly","$41.712 hourly","$39.599 hourly","0","unavailable"
"C6G Double Extra Large","c6g.2xlarge","16.0 GiB","0 units","8 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.272 hourly","$0.1714 hourly","$0.136000 hourly","$0.141900 hourly","$0.437 hourly","$0.3334 hourly","$0.266000 hourly","$0.271900 hourly","$0.422 hourly","$0.2314 hourly","$0.286000 hourly","$0.291900 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","Burstable","8 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.3712 hourly","$0.23 hourly","$0.123800 hourly","$0.212500 hourly","$0.5362 hourly","$0.392 hourly","$0.253800 hourly","$0.342500 hourly","$0.4712 hourly","$0.263 hourly","$0.223800 hourly","$0.312500 hourly","$0.4332 hourly","$0.292 hourly","$0.173400 hourly","$0.173400 hourly","$0.5742 hourly","$0.433 hourly","unavailable","unavailable","$3.4332 hourly","$3.292 hourly","$0.5064 hourly","$0.3652 hourly","unavailable","unavailable","$3.3712 hourly","$3.23 hourly","unavailable","unavailable"
"R5B 16xlarge","r5b.16xlarge","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","40000.0 Mbps","5000.0 Mbps","173333.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$4.768 hourly","$3.00384 hourly","$1.375200 hourly","$3.339400 hourly","$4.898 hourly","$3.13384 hourly","$1.505200 hourly","$3.469400 hourly","$4.918 hourly","$3.06384 hourly","$1.525200 hourly","$3.489400 hourly","$7.712 hourly","$5.94784 hourly","$4.084000 hourly","$4.085800 hourly","$8.7936 hourly","$7.02944 hourly","$15.392 hourly","$13.62784 hourly","$31.712 hourly","$29.94784 hourly","$5.8496 hourly","$4.08544 hourly","$12.448 hourly","$10.68384 hourly","$28.768 hourly","$27.00384 hourly","0","unavailable"
"T2 Large","t2.large","8.0 GiB","Burstable","2 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","unknown","Yes","EBS only","N/A","N/A","64-bit","Low to Moderate","N/A","0 Mbps","0 IOPS","No","36","3","No","Yes","Yes","No","HVM","No","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$0.0928 hourly","$0.0575 hourly","$0.027800 hourly","$0.031700 hourly","$0.1528 hourly","$0.1175 hourly","$0.087800 hourly","$0.091700 hourly","$0.1928 hourly","$0.0905 hourly","$0.127800 hourly","$0.131700 hourly","$0.1208 hourly","$0.0855 hourly","$0.055800 hourly","$0.055800 hourly","$0.1918 hourly","$0.1565 hourly","unavailable","unavailable","unavailable","unavailable","$0.1604 hourly","$0.1251 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","1.88 GiB/vCPU","0","None","0 GiB","0","0","3.438 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","320 GB                 (2 * 160 GB SSD)","No","No","64-bit","High","2000.0 Mbps","250.0 Mbps","16000.0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","use1-az2, use1-az3, use1-az4, use1-az6","$0.84 hourly","$0.584 hourly","$0.235000 hourly","$0.335200 hourly","$0.97 hourly","$0.714 hourly","$0.365000 hourly","$0.465200 hourly","$0.94 hourly","$0.62 hourly","$0.335000 hourly","$0.435200 hourly","$1.504 hourly","$1.317 hourly","$0.899000 hourly","$0.899000 hourly","$2.166 hourly","$1.54 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$1.11 hourly","$0.801 hourly","$2.76 hourly","$2.451 hourly","$6.84 hourly","$6.531 hourly","0","$0.210 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$2.752 hourly","$1.734 hourly","$1.145700 hourly","$1.367700 hourly","$2.882 hourly","$1.864 hourly","$1.275700 hourly","$1.497700 hourly","$2.902 hourly","$1.794 hourly","$1.295700 hourly","$1.517700 hourly","$5.696 hourly","$4.678 hourly","$4.032200 hourly","$4.121100 hourly","$6.778 hourly","$5.759 hourly","$13.376 hourly","$12.358 hourly","$29.696 hourly","$28.678 hourly","$3.834 hourly","$2.815 hourly","$10.432 hourly","$9.414 hourly","$26.752 hourly","$25.734 hourly","0","unavailable"
"R5A Large","r5a.large","16.0 GiB","0 units","2 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.113 hourly","$0.071 hourly","$0.038500 hourly","$0.047400 hourly","$0.173 hourly","$0.131 hourly","$0.098500 hourly","$0.107400 hourly","$0.176 hourly","$0.096 hourly","$0.101500 hourly","$0.110400 hourly","$0.205 hourly","$0.163 hourly","$0.127600 hourly","$0.127600 hourly","$0.273 hourly","$0.231 hourly","$0.685 hourly","$0.643 hourly","unavailable","unavailable","$0.181 hourly","$0.139 hourly","$0.593 hourly","$0.551 hourly","unavailable","unavailable","0","unavailable"
"C3 High-CPU Large","c3.large","3.75 GiB","7 units","2 vCPUs","1.88 GiB/vCPU","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","32 GB                 (2 * 16 GB SSD)","No","No","32/64-bit","Moderate","N/A","0 Mbps","0 IOPS","No","30","3","Yes","No","Yes","No","HVM, PV","No","use1-az2, use1-az3, use1-az4, use1-az6","$0.105 hourly","$0.073 hourly","$0.029400 hourly","$0.030200 hourly","$0.165 hourly","$0.133 hourly","$0.089400 hourly","$0.090200 hourly","$0.205 hourly","$0.109 hourly","$0.129400 hourly","$0.130200 hourly","$0.188 hourly","$0.165 hourly","$0.112400 hourly","$0.112400 hourly","$0.271 hourly","$0.192 hourly","$0.561 hourly","$0.406 hourly","unavailable","unavailable","$0.173 hourly","$0.134 hourly","$0.585 hourly","$0.546 hourly","unavailable","unavailable","unavailable","unavailable"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","0 units","192 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","50 Gigabit","40000.0 Mbps","5000.0 Mbps","160000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$7.344 hourly","$4.85806 hourly","$3.264600 hourly","$3.264600 hourly","$7.474 hourly","$4.98806 hourly","$3.394600 hourly","$3.394600 hourly","$7.494 hourly","$4.91806 hourly","$3.414600 hourly","$3.414600 hourly","$16.176 hourly","$13.69006 hourly","$12.096600 hourly","$12.096600 hourly","$19.4208 hourly","$16.93486 hourly","$39.216 hourly","$36.73006 hourly","$88.176 hourly","$85.69006 hourly","$10.5888 hourly","$8.10286 hourly","$30.384 hourly","$27.89806 hourly","$79.344 hourly","$76.85806 hourly","0","unavailable"
"C6GD Medium","c6gd.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0384 hourly","$0.0242 hourly","$0.017000 hourly","$0.017000 hourly","$0.0984 hourly","$0.0842 hourly","$0.077000 hourly","$0.077000 hourly","$0.0694 hourly","$0.0372 hourly","$0.048000 hourly","$0.048000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
